                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.45125,                0.31367,                 1.0375,                0.99367,                0.98726,                0.99463,                0.93795,                 0.4492,                0.27394,                 1.0209,              0.0007328,              0.0007328,              0.0007328
                    131,                0.44011,                0.30771,                 1.0251,                0.97413,                0.98726,                0.99395,                0.93787,                0.42166,                0.24259,                0.96379,              0.0007229,              0.0007229,              0.0007229
                    132,                0.44806,                0.30061,                 1.0319,                0.98725,                0.98602,                0.99412,                0.93032,                0.46279,                 0.2488,                 1.0532,               0.000713,               0.000713,               0.000713
                    133,                0.43595,                0.29595,                 1.0251,                0.98717,                0.98054,                0.99443,                0.93147,                0.44081,                0.23854,                 1.0133,              0.0007031,              0.0007031,              0.0007031
                    134,                0.44457,                0.29948,                 1.0289,                 0.9932,                0.98089,                0.99452,                0.92878,                0.49419,                0.24561,                 1.1167,              0.0006932,              0.0006932,              0.0006932
                    135,                0.43005,                0.29275,                 1.0211,                0.98023,                0.98089,                0.99395,                0.93193,                0.43282,                0.23087,                 1.0443,              0.0006833,              0.0006833,              0.0006833
                    136,                0.43245,                0.29379,                 1.0253,                0.98723,                0.98475,                0.99444,                0.93244,                 0.4378,                0.22271,                 1.0304,              0.0006734,              0.0006734,              0.0006734
                    137,                0.43948,                0.29759,                 1.0265,                0.97944,                      1,                0.99475,                0.93441,                0.43046,                 0.2328,                 1.0237,              0.0006635,              0.0006635,              0.0006635
                    138,                0.43248,                0.29546,                 1.0191,                0.98739,                0.99723,                0.99436,                0.93505,                0.46332,                0.23663,                 1.0959,              0.0006536,              0.0006536,              0.0006536
                    139,                0.43317,                0.29222,                 1.0238,                0.99474,                0.98089,                0.99463,                0.93323,                0.46509,                0.23897,                 1.0767,              0.0006437,              0.0006437,              0.0006437
                    140,                0.42671,                0.29239,                 1.0155,                0.97275,                      1,                0.99456,                0.92678,                0.47943,                0.24643,                 1.0817,              0.0006338,              0.0006338,              0.0006338
                    141,                0.43323,                0.29067,                 1.0244,                0.97512,                0.99868,                0.99437,                0.92745,                0.49499,                0.23814,                 1.1594,              0.0006239,              0.0006239,              0.0006239
                    142,                0.43366,                0.29263,                 1.0225,                0.98392,                      1,                0.99468,                0.93764,                0.39347,                0.22467,                0.97067,               0.000614,               0.000614,               0.000614
                    143,                 0.4191,                0.29183,                 1.0272,                0.98989,                      1,                0.99481,                0.93773,                0.40948,                0.21378,                0.99728,              0.0006041,              0.0006041,              0.0006041
